,maxO3,T6,T9,T12,T15,T18,Ne6,Ne9,Ne12,Ne15,Ne18,Vdir6,Vvit6,Vdir9,Vvit9,Vdir12,Vvit12,Vdir15,Vvit15,Vdir18,Vvit18,Vx,maxO3v,maxO3l
141,161.4,17.8,22.2,28.4,29.2,26.6,6.0,0.0,0.0,3.0,7.0,340.0,3.0,360.0,4.0,20.0,3.0,360.0,6.0,350.0,3.0,1.0261,155.8,125.4
142,125.4,16.3,23.9,28.2,28.2,25.9,0.0,0.0,1.0,3.0,0.0,310.0,2.0,30.0,3.0,60.0,5.0,360.0,6.0,360.0,6.0,4.3301,161.4,111.4
143,111.4,14.3,22.8,27.2,28.2,25.3,1.0,1.0,1.0,1.0,1.0,310.0,3.0,20.0,5.0,30.0,5.0,350.0,5.0,360.0,5.0,2.5,125.4,91.4
144,91.4,17.7,21.0,23.0,23.9,21.7,7.0,5.0,8.0,7.0,7.0,350.0,4.0,320.0,3.0,330.0,6.0,330.0,4.0,350.0,6.0,-3.0,111.4,68.0
145,68.0,14.0,19.9,23.2,24.4,22.7,5.0,5.0,5.0,4.0,6.0,300.0,3.0,330.0,5.0,350.0,7.0,330.0,5.0,360.0,4.0,-1.2155,91.4,73.0
146,73.0,19.1,20.5,23.8,26.0,24.1,8.0,7.0,7.0,4.0,5.0,260.0,5.0,270.0,4.0,260.0,4.0,280.0,6.0,330.0,6.0,-3.9392,68.0,86.0
147,86.0,14.9,19.7,22.8,24.4,21.3,1.0,5.0,2.0,1.0,1.0,280.0,3.0,330.0,5.0,320.0,6.0,330.0,7.0,350.0,6.0,-3.8567,73.0,73.8
148,73.8,17.4,20.6,23.2,22.8,18.3,6.0,6.0,7.0,7.0,7.0,280.0,2.0,310.0,5.0,340.0,6.0,330.0,9.0,340.0,9.0,-2.0521,86.0,65.4
149,65.4,13.2,16.1,20.0,19.6,17.1,6.0,6.0,4.0,4.0,5.0,10.0,3.0,350.0,6.0,350.0,7.0,20.0,7.0,350.0,7.0,-1.2155,73.8,65.4
150,65.4,9.6,17.7,21.3,20.7,19.8,1.0,3.0,5.0,7.0,5.0,280.0,2.0,10.0,4.0,340.0,6.0,350.0,7.0,360.0,6.0,-2.0521,65.4,81.2
151,81.2,16.7,18.4,19.1,21.6,20.4,7.0,5.0,6.0,2.0,1.0,30.0,4.0,60.0,5.0,40.0,5.0,50.0,5.0,20.0,5.0,3.2139,65.4,60.6
152,60.6,10.2,15.9,20.5,20.8,20.9,5.0,7.0,7.0,7.0,4.0,320.0,2.0,310.0,2.0,10.0,6.0,10.0,6.0,10.0,6.0,1.0419,81.2,58.8
153,58.8,15.9,18.7,19.4,20.8,18.7,7.0,7.0,7.0,5.0,1.0,30.0,3.0,30.0,3.0,350.0,4.0,20.0,7.0,360.0,5.0,-0.6946,60.6,68.0
154,68.0,13.1,16.1,21.4,22.1,18.4,8.0,7.0,7.0,7.0,6.0,0.0,0.0,260.0,2.0,330.0,4.0,320.0,5.0,280.0,2.0,-2.0,58.8,69.8
155,69.8,11.1,16.9,19.7,19.0,16.2,6.0,2.0,5.0,6.0,1.0,270.0,3.0,280.0,6.0,280.0,7.0,280.0,7.0,330.0,4.0,-6.8937,68.0,62.2
156,62.2,12.0,17.0,20.7,20.2,17.1,5.0,7.0,7.0,7.0,7.0,250.0,3.0,270.0,5.0,270.0,4.0,270.0,3.0,20.0,2.0,-4.0,69.8,66.2
157,66.2,12.0,16.2,19.0,21.0,18.4,7.0,3.0,4.0,5.0,6.0,200.0,1.0,260.0,3.0,290.0,3.0,250.0,3.0,320.0,2.0,-2.8191,62.2,64.8
158,64.8,13.0,17.7,17.5,18.1,18.3,7.0,7.0,8.0,8.0,6.0,160.0,2.0,160.0,6.0,180.0,7.0,180.0,7.0,170.0,7.0,0.0,66.2,67.0
159,67.0,17.5,17.1,18.9,16.7,16.8,7.0,8.0,7.0,8.0,8.0,200.0,9.0,200.0,12.0,210.0,12.0,210.0,16.0,240.0,12.0,-6.0,64.8,79.8
160,79.8,15.7,18.0,20.6,20.7,17.6,6.0,5.0,7.0,7.0,4.0,280.0,5.0,290.0,7.0,280.0,7.0,270.0,8.0,280.0,4.0,-6.8937,67.0,65.6
161,65.6,12.8,16.9,20.6,21.0,17.3,1.0,5.0,6.0,7.0,8.0,220.0,2.0,250.0,4.0,190.0,6.0,230.0,7.0,240.0,2.0,-1.0419,79.8,59.0
162,59.0,15.2,15.6,19.0,20.2,17.6,7.0,8.0,7.0,8.0,8.0,140.0,2.0,140.0,1.0,140.0,3.0,170.0,4.0,190.0,3.0,1.9284,65.6,78.0
163,78.0,11.5,16.6,19.8,16.5,17.7,0.0,2.0,5.0,7.0,4.0,260.0,3.0,250.0,5.0,240.0,4.0,330.0,3.0,230.0,4.0,-3.4641,59.0,56.2
164,56.2,11.3,16.5,18.4,15.2,16.2,3.0,5.0,4.0,4.0,5.0,180.0,3.0,240.0,4.0,250.0,4.0,220.0,2.0,210.0,2.0,-3.7588,78.0,70.6
165,70.6,10.2,14.0,17.8,20.1,18.6,5.0,7.0,6.0,5.0,2.0,0.0,0.0,230.0,1.0,250.0,2.0,330.0,3.0,10.0,2.0,-1.8794,56.2,45.6
166,45.6,13.8,14.3,13.6,16.1,15.8,8.0,8.0,8.0,7.0,7.0,170.0,4.0,170.0,7.0,320.0,6.0,220.0,2.0,260.0,5.0,-3.8567,70.6,48.2
167,48.2,13.6,15.6,17.0,15.1,14.8,8.0,6.0,7.0,7.0,7.0,200.0,5.0,230.0,5.0,260.0,5.0,280.0,4.0,290.0,4.0,-4.924,45.6,75.2
168,75.2,12.5,15.1,17.1,17.5,15.2,7.0,7.0,6.0,5.0,7.0,290.0,3.0,290.0,4.0,320.0,5.0,330.0,4.0,250.0,1.0,-3.2139,48.2,83.6
169,83.6,9.8,13.2,19.4,20.1,17.8,4.0,7.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,110.0,3.0,70.0,2.0,30.0,3.0,2.8191,75.2,75.2
170,75.2,14.3,16.2,19.8,18.4,16.6,7.0,7.0,6.0,7.0,6.0,80.0,2.0,160.0,4.0,110.0,4.0,110.0,4.0,60.0,5.0,3.7588,83.6,91.8
171,91.8,10.9,15.1,19.2,18.2,17.7,2.0,7.0,7.0,7.0,8.0,350.0,3.0,20.0,5.0,30.0,7.0,360.0,7.0,360.0,7.0,3.5,75.2,71.2
172,71.2,13.7,16.4,17.4,18.6,15.9,1.0,6.0,5.0,3.0,2.0,10.0,5.0,10.0,8.0,360.0,8.0,360.0,7.0,10.0,4.0,0.0,91.8,72.6
173,72.6,10.4,15.6,18.3,17.5,15.5,7.0,1.0,3.0,3.0,1.0,300.0,1.0,40.0,4.0,360.0,4.0,10.0,5.0,10.0,4.0,0.0,71.2,70.8
174,70.8,7.6,12.9,17.0,18.6,17.0,1.0,3.0,7.0,6.0,4.0,0.0,0.0,360.0,1.0,60.0,2.0,360.0,2.0,10.0,3.0,1.7321,72.6,53.2
175,53.2,10.8,12.2,18.0,17.9,17.0,9.0,9.0,7.0,7.0,3.0,290.0,1.0,300.0,2.0,330.0,1.0,320.0,4.0,330.0,2.0,-0.5,70.8,66.8
176,66.8,12.4,14.9,14.7,17.9,14.0,6.0,8.0,7.0,6.0,3.0,230.0,3.0,240.0,5.0,300.0,4.0,330.0,10.0,330.0,8.0,-3.4641,53.2,58.0
177,58.0,8.6,12.9,16.1,17.3,15.4,4.0,1.0,3.0,6.0,7.0,300.0,2.0,290.0,2.0,330.0,4.0,340.0,4.0,340.0,2.0,-2.0,66.8,49.2
178,49.2,11.4,14.6,16.2,16.8,16.3,7.0,7.0,7.0,7.0,7.0,230.0,3.0,240.0,4.0,220.0,6.0,230.0,6.0,230.0,5.0,-3.8567,58.0,60.4
179,60.4,16.5,17.6,15.9,17.2,14.7,8.0,8.0,8.0,5.0,7.0,240.0,6.0,270.0,4.0,320.0,7.0,320.0,6.0,320.0,4.0,-4.4995,49.2,49.6
180,49.6,6.7,11.6,15.8,15.2,13.0,4.0,2.0,7.0,6.0,7.0,280.0,1.0,280.0,2.0,300.0,6.0,320.0,3.0,350.0,2.0,-5.1962,60.4,45.0
181,45.0,7.6,11.1,15.3,15.9,13.9,6.0,7.0,7.0,7.0,7.0,190.0,1.0,0.0,0.0,210.0,3.0,220.0,3.0,190.0,2.0,-1.5,49.6,52.8
182,52.8,10.9,11.9,14.3,15.3,15.6,8.0,8.0,8.0,8.0,8.0,170.0,6.0,150.0,4.0,180.0,5.0,200.0,4.0,200.0,3.0,0.0,45.0,75.2
183,75.2,3.7,5.1,8.8,9.2,7.9,7.0,7.0,6.0,5.0,6.0,80.0,6.0,80.0,7.0,70.0,7.0,60.0,7.0,30.0,7.0,6.5778,86.8,75.4
184,75.4,0.2,5.0,6.3,7.6,6.1,0.0,1.0,5.0,3.0,1.0,30.0,4.0,30.0,5.0,30.0,7.0,20.0,5.0,360.0,7.0,3.5,75.2,81.6
185,81.6,-0.2,5.5,7.1,8.8,8.1,5.0,2.0,5.0,3.0,3.0,0.0,0.0,40.0,5.0,40.0,5.0,20.0,5.0,40.0,3.0,3.2139,75.4,95.8
186,95.8,-1.6,6.5,10.5,12.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0,100.0,5.0,90.0,3.0,60.0,4.0,4.924,81.6,64.0
187,64.0,0.3,8.0,9.3,8.1,6.9,6.0,1.0,7.0,7.0,8.0,350.0,1.0,80.0,5.0,90.0,5.0,110.0,3.0,60.0,2.0,5.0,95.8,53.0
188,53.0,4.3,6.9,8.6,9.6,9.6,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,310.0,2.0,350.0,2.0,360.0,1.0,-1.5321,64.0,70.2
189,70.2,7.1,8.2,10.3,11.8,11.6,8.0,8.0,8.0,8.0,8.0,340.0,1.0,40.0,1.0,330.0,2.0,320.0,2.0,340.0,2.0,-1.0,53.0,83.4
190,83.4,7.3,8.9,12.4,13.2,12.6,8.0,8.0,8.0,8.0,8.0,280.0,1.0,210.0,1.0,240.0,2.0,320.0,2.0,160.0,1.0,-1.7321,70.2,87.0
191,87.0,4.9,10.2,15.2,16.6,15.4,7.0,7.0,6.0,3.0,3.0,90.0,2.0,140.0,2.0,170.0,3.0,160.0,3.0,160.0,3.0,0.5209,83.4,79.6
192,79.6,8.6,9.9,13.5,16.3,13.6,8.0,8.0,7.0,6.0,7.0,150.0,2.0,190.0,3.0,210.0,3.0,290.0,3.0,10.0,4.0,-1.5,87.0,81.0
193,81.0,8.2,10.6,14.3,16.0,15.0,7.0,7.0,7.0,6.0,7.0,0.0,0.0,310.0,2.0,300.0,1.0,340.0,1.0,20.0,2.0,-0.866,79.6,79.8
194,79.8,9.2,11.6,17.9,18.6,16.1,7.0,7.0,5.0,7.0,8.0,110.0,1.0,150.0,1.0,190.0,2.0,210.0,3.0,280.0,4.0,-0.3473,81.0,50.0
195,50.0,10.3,11.2,12.8,13.4,12.0,8.0,8.0,7.0,7.0,5.0,260.0,1.0,290.0,2.0,290.0,2.0,340.0,4.0,10.0,4.0,-1.8794,79.8,86.8
196,86.8,6.2,8.0,12.1,13.8,12.9,8.0,8.0,8.0,8.0,8.0,300.0,2.0,330.0,2.0,280.0,1.0,290.0,2.0,310.0,2.0,-0.9848,50.0,70.0
197,70.0,11.3,14.7,16.5,17.0,16.2,7.0,6.0,7.0,7.0,7.0,160.0,2.0,170.0,3.0,170.0,4.0,170.0,4.0,250.0,3.0,0.6946,86.8,105.8
198,105.8,7.4,13.3,18.6,17.4,15.4,7.0,7.0,6.0,8.0,8.0,120.0,2.0,140.0,4.0,150.0,5.0,170.0,5.0,200.0,3.0,2.5,70.0,81.4
199,81.4,7.9,11.7,15.0,16.3,12.0,4.0,6.0,6.0,6.0,6.0,240.0,2.0,300.0,6.0,280.0,6.0,290.0,5.0,240.0,3.0,-5.9088,105.8,68.2
200,68.2,8.1,12.5,15.2,14.2,13.5,9.0,6.0,6.0,7.0,7.0,200.0,4.0,210.0,7.0,210.0,7.0,230.0,7.0,220.0,4.0,-3.5,81.4,87.0
201,87.0,9.1,13.2,17.7,19.1,18.5,8.0,5.0,7.0,7.0,7.0,190.0,3.0,210.0,2.0,190.0,3.0,170.0,5.0,170.0,2.0,-0.5209,68.2,93.6
202,93.6,13.5,15.1,18.1,19.9,17.3,7.0,7.0,7.0,6.0,6.0,120.0,1.0,160.0,4.0,200.0,6.0,180.0,6.0,200.0,3.0,-2.0521,87.0,95.6
203,95.6,11.9,17.9,20.8,19.6,14.4,7.0,1.0,7.0,4.0,8.0,140.0,5.0,180.0,8.0,200.0,10.0,230.0,8.0,230.0,7.0,-3.4202,93.6,63.6
204,63.6,10.5,11.3,13.4,15.0,14.1,8.0,7.0,7.0,7.0,8.0,90.0,3.0,80.0,5.0,60.0,3.0,0.0,0.0,130.0,2.0,2.5981,95.6,68.6
205,68.6,9.6,11.6,12.7,11.7,12.7,8.0,7.0,7.0,7.0,3.0,300.0,6.0,240.0,5.0,260.0,6.0,260.0,4.0,230.0,4.0,-5.9088,63.6,81.6
206,81.6,6.7,12.7,14.3,13.3,11.4,2.0,6.0,6.0,7.0,3.0,220.0,3.0,280.0,4.0,310.0,4.0,250.0,6.0,20.0,3.0,-3.0642,68.6,84.4
207,84.4,4.5,10.9,12.8,14.8,13.5,3.0,3.0,7.0,2.0,1.0,320.0,1.0,310.0,2.0,340.0,3.0,340.0,5.0,10.0,4.0,-1.0261,81.6,85.6
208,85.6,3.7,9.4,15.5,16.8,15.2,9.0,1.0,3.0,3.0,0.0,310.0,1.0,310.0,1.0,40.0,4.0,30.0,4.0,10.0,6.0,2.5712,84.4,112.4
209,112.4,7.0,12.0,20.3,21.3,17.2,2.0,6.0,5.0,4.0,7.0,330.0,3.0,20.0,3.0,70.0,5.0,70.0,4.0,10.0,5.0,4.6985,85.6,100.2
210,100.2,9.1,15.0,18.7,17.5,14.5,7.0,5.0,5.0,5.0,2.0,360.0,3.0,360.0,3.0,350.0,7.0,350.0,7.0,360.0,7.0,-1.2155,112.4,89.6
211,89.6,6.8,12.2,15.0,15.7,12.9,1.0,1.0,4.0,5.0,5.0,10.0,2.0,50.0,4.0,30.0,3.0,340.0,5.0,20.0,6.0,1.5,100.2,74.6
212,74.6,5.6,11.1,15.1,14.8,13.4,6.0,3.0,5.0,6.0,6.0,280.0,1.0,300.0,2.0,250.0,3.0,270.0,2.0,230.0,5.0,-2.8191,89.6,81.8
213,81.8,8.3,10.6,10.3,12.8,9.4,7.0,7.0,7.0,7.0,7.0,170.0,6.0,180.0,6.0,170.0,6.0,180.0,8.0,190.0,4.0,1.0419,74.6,79.0
214,79.0,7.9,11.7,13.0,12.5,11.4,7.0,7.0,6.0,7.0,7.0,140.0,3.0,150.0,5.0,170.0,7.0,90.0,4.0,90.0,6.0,1.2155,81.8,65.8
215,65.8,8.1,8.9,9.3,10.0,8.9,8.0,8.0,7.0,8.0,8.0,10.0,5.0,10.0,5.0,10.0,6.0,350.0,5.0,10.0,4.0,1.0419,79.0,85.0
216,85.0,7.2,10.9,12.3,12.8,12.6,8.0,3.0,5.0,7.0,5.0,80.0,3.0,100.0,4.0,80.0,4.0,60.0,5.0,60.0,3.0,3.9392,65.8,105.6
217,105.6,4.2,11.1,14.6,16.3,15.1,5.0,1.0,3.0,3.0,1.0,20.0,2.0,80.0,3.0,80.0,5.0,90.0,5.0,80.0,5.0,4.924,85.0,79.0
218,79.0,8.9,7.5,7.9,10.1,10.3,8.0,8.0,8.0,8.0,7.0,60.0,6.0,50.0,7.0,50.0,7.0,60.0,5.0,60.0,6.0,5.3623,105.6,71.4
219,71.4,8.0,9.8,13.6,15.3,14.5,8.0,7.0,7.0,7.0,7.0,40.0,4.0,40.0,6.0,40.0,6.0,30.0,5.0,40.0,6.0,3.8567,79.0,74.8
220,74.8,9.8,9.2,10.4,9.8,10.4,8.0,8.0,8.0,8.0,8.0,20.0,6.0,20.0,5.0,40.0,8.0,30.0,8.0,30.0,7.0,5.1423,71.4,84.8
221,84.8,6.4,10.3,12.7,12.7,10.9,2.0,2.0,2.0,3.0,3.0,40.0,5.0,40.0,8.0,30.0,9.0,40.0,9.0,40.0,8.0,4.5,74.8,77.0
222,77.0,4.8,10.0,11.6,11.3,10.8,1.0,4.0,6.0,7.0,3.0,20.0,3.0,40.0,7.0,30.0,5.0,70.0,6.0,30.0,7.0,2.5,84.8,71.6
223,71.6,6.0,10.4,11.4,11.4,11.0,7.0,5.0,7.0,7.0,6.0,20.0,3.0,60.0,4.0,30.0,5.0,20.0,6.0,30.0,5.0,2.5,77.0,95.4
224,95.4,7.3,10.6,13.1,12.9,12.0,7.0,7.0,7.0,7.0,2.0,340.0,3.0,10.0,4.0,20.0,5.0,20.0,6.0,20.0,4.0,1.7101,71.6,95.2
225,95.2,3.2,11.6,14.4,15.2,13.4,0.0,2.0,6.0,7.0,7.0,0.0,0.0,10.0,3.0,40.0,1.0,20.0,4.0,30.0,4.0,0.6428,95.4,81.2
226,81.2,5.4,13.5,13.1,11.7,11.5,3.0,3.0,7.0,8.0,7.0,0.0,0.0,70.0,5.0,30.0,7.0,40.0,7.0,40.0,6.0,3.5,95.2,71.0
227,71.0,10.3,11.4,13.1,13.7,12.4,8.0,8.0,8.0,8.0,8.0,40.0,6.0,50.0,4.0,30.0,5.0,80.0,6.0,70.0,5.0,2.5,81.2,58.6
228,58.6,9.2,9.1,8.3,8.3,8.1,8.0,8.0,8.0,8.0,8.0,60.0,4.0,80.0,7.0,60.0,5.0,50.0,3.0,10.0,2.0,4.3301,71.0,43.2
229,43.2,7.7,8.8,10.1,12.4,10.7,8.0,8.0,8.0,7.0,8.0,360.0,2.0,40.0,2.0,360.0,2.0,310.0,1.0,20.0,2.0,0.0,58.6,72.0
230,72.0,10.0,11.7,16.5,16.0,16.4,9.0,7.0,7.0,6.0,3.0,340.0,2.0,0.0,0.0,120.0,1.0,80.0,2.0,180.0,9.0,0.866,43.2,86.0
231,86.0,6.5,8.4,12.9,14.2,12.6,3.0,7.0,6.0,5.0,4.0,190.0,5.0,200.0,4.0,230.0,7.0,230.0,8.0,230.0,6.0,-5.3623,72.0,82.8
232,82.8,8.7,12.5,13.8,16.3,14.6,7.0,7.0,6.0,3.0,1.0,220.0,1.0,230.0,1.0,320.0,1.0,260.0,6.0,240.0,6.0,-0.6428,86.0,88.0
233,88.0,8.7,13.0,14.1,16.0,14.9,4.0,5.0,6.0,6.0,5.0,240.0,2.0,280.0,4.0,290.0,6.0,280.0,4.0,20.0,1.0,-5.6382,82.8,67.2
234,67.2,10.0,14.2,13.4,12.7,12.6,8.0,8.0,8.0,8.0,8.0,160.0,3.0,210.0,9.0,210.0,6.0,210.0,9.0,210.0,7.0,-3.0,88.0,50.0
235,50.0,13.1,14.7,16.7,17.4,15.7,8.0,8.0,7.0,7.0,7.0,210.0,3.0,230.0,5.0,230.0,6.0,220.0,7.0,230.0,6.0,-4.5963,67.2,53.6
236,53.6,12.7,14.4,15.8,17.5,13.9,8.0,7.0,7.0,6.0,8.0,230.0,5.0,230.0,5.0,210.0,8.0,220.0,9.0,210.0,6.0,-4.0,50.0,62.8
237,62.8,12.3,11.7,13.5,14.2,13.6,8.0,8.0,8.0,8.0,8.0,260.0,3.0,280.0,1.0,0.0,0.0,310.0,1.0,50.0,1.0,0.0,53.6,64.0
238,64.0,12.2,13.3,13.8,14.5,14.5,8.0,8.0,8.0,8.0,8.0,210.0,3.0,240.0,4.0,220.0,6.0,220.0,6.0,240.0,5.0,-3.8567,62.8,71.4
239,71.4,12.1,13.6,15.6,16.0,14.8,7.0,7.0,7.0,7.0,7.0,270.0,5.0,280.0,7.0,310.0,8.0,310.0,7.0,320.0,5.0,-6.1284,64.0,68.4
240,68.4,10.7,13.5,16.7,18.1,18.2,7.0,8.0,7.0,5.0,1.0,170.0,1.0,150.0,2.0,200.0,3.0,220.0,4.0,240.0,3.0,-1.0261,71.4,90.6
241,90.6,11.3,15.2,20.7,22.6,23.1,8.0,2.0,2.0,2.0,1.0,210.0,1.0,240.0,3.0,210.0,2.0,170.0,3.0,270.0,1.0,-1.0,68.4,112.6
242,112.6,14.9,22.7,26.4,28.4,25.1,5.0,6.0,5.0,5.0,7.0,110.0,3.0,160.0,5.0,170.0,7.0,180.0,7.0,220.0,6.0,1.2155,90.6,60.2
243,60.2,13.9,15.5,17.6,18.6,17.0,7.0,7.0,8.0,8.0,7.0,250.0,3.0,270.0,3.0,240.0,2.0,240.0,3.0,230.0,5.0,-1.7321,112.6,86.8
244,86.8,10.5,13.4,17.1,17.7,15.6,3.0,7.0,5.0,6.0,6.0,210.0,2.0,260.0,4.0,250.0,4.0,230.0,5.0,260.0,3.0,-3.7588,60.2,81.2
245,81.2,10.9,13.6,15.5,15.6,15.3,7.0,7.0,7.0,7.0,5.0,360.0,3.0,360.0,4.0,360.0,5.0,10.0,7.0,20.0,5.0,0.0,86.8,90.2
246,90.2,7.7,14.6,18.7,21.0,19.5,0.0,1.0,2.0,1.0,2.0,260.0,1.0,270.0,1.0,270.0,2.0,250.0,3.0,250.0,4.0,-2.0,81.2,90.0
247,90.0,13.8,17.9,21.9,24.0,23.6,7.0,2.0,1.0,1.0,1.0,180.0,1.0,10.0,1.0,150.0,2.0,170.0,1.0,200.0,1.0,1.0,90.2,139.0
248,139.0,15.7,22.8,26.8,28.2,27.7,1.0,1.0,1.0,1.0,2.0,100.0,2.0,160.0,3.0,130.0,3.0,120.0,3.0,120.0,3.0,2.2981,90.0,139.6
249,139.6,18.5,26.2,30.8,31.8,30.0,3.0,4.0,4.0,1.0,0.0,110.0,3.0,160.0,2.0,160.0,2.0,160.0,2.0,160.0,2.0,0.684,139.0,130.0
250,130.0,19.3,27.0,30.6,31.6,26.1,0.0,0.0,0.0,1.0,1.0,160.0,2.0,180.0,3.0,190.0,5.0,190.0,8.0,230.0,4.0,-0.8682,139.6,94.6
251,94.6,13.3,12.6,12.6,12.8,14.1,7.0,8.0,8.0,8.0,5.0,330.0,4.0,330.0,4.0,360.0,4.0,350.0,4.0,350.0,1.0,0.0,130.0,86.8
252,86.8,9.9,16.9,21.4,23.2,23.1,2.0,4.0,3.0,2.0,1.0,80.0,1.0,200.0,2.0,210.0,3.0,240.0,3.0,230.0,3.0,-1.5,94.6,80.0
253,80.0,15.9,18.7,22.1,24.0,22.1,6.0,6.0,5.0,6.0,7.0,310.0,1.0,320.0,2.0,360.0,2.0,290.0,3.0,310.0,3.0,0.0,86.8,60.0
254,60.0,14.2,20.2,23.7,24.8,22.9,0.0,1.0,2.0,1.0,0.0,290.0,1.0,210.0,3.0,220.0,5.0,240.0,5.0,250.0,4.0,-3.2139,80.0,78.2
255,78.2,16.0,18.4,18.4,20.7,18.9,6.0,5.0,7.0,2.0,0.0,360.0,3.0,350.0,5.0,20.0,4.0,360.0,4.0,360.0,5.0,1.3681,60.0,121.0
256,121.0,12.5,19.7,22.6,24.3,23.5,0.0,1.0,0.0,0.0,0.0,40.0,2.0,90.0,4.0,60.0,5.0,60.0,6.0,60.0,6.0,4.3301,78.2,111.2
257,111.2,14.0,19.3,23.1,25.3,24.4,1.0,3.0,2.0,1.0,1.0,80.0,4.0,70.0,5.0,60.0,6.0,70.0,6.0,80.0,6.0,5.1962,121.0,129.4
258,129.4,15.0,21.4,25.3,27.3,26.6,3.0,5.0,5.0,4.0,3.0,70.0,3.0,100.0,4.0,80.0,7.0,100.0,6.0,100.0,5.0,6.8937,111.2,126.8
259,126.8,16.5,22.8,27.7,29.1,28.0,1.0,1.0,1.0,1.0,1.0,60.0,1.0,90.0,4.0,90.0,6.0,100.0,5.0,100.0,4.0,6.0,129.4,125.0
260,125.0,17.0,23.0,27.5,28.6,27.4,1.0,2.0,7.0,3.0,3.0,80.0,1.0,150.0,1.0,50.0,1.0,10.0,2.0,20.0,4.0,0.766,126.8,125.8
261,125.8,14.9,22.6,26.9,27.5,26.2,1.0,1.0,0.0,1.0,1.0,300.0,1.0,350.0,3.0,310.0,3.0,30.0,4.0,10.0,5.0,-2.2981,125.0,113.8
262,113.8,16.5,22.0,27.2,27.7,22.3,2.0,5.0,6.0,7.0,8.0,110.0,3.0,160.0,3.0,200.0,4.0,230.0,6.0,240.0,5.0,-1.3681,125.8,64.6
263,64.6,15.9,18.8,21.3,22.0,19.7,1.0,5.0,6.0,6.0,6.0,270.0,3.0,280.0,4.0,250.0,5.0,280.0,4.0,20.0,5.0,-4.6985,113.8,94.8
264,94.8,14.7,17.7,17.2,19.6,18.5,6.0,6.0,7.0,2.0,1.0,10.0,2.0,20.0,5.0,20.0,7.0,20.0,7.0,360.0,7.0,2.3941,64.6,98.2
265,98.2,10.5,16.1,18.7,19.1,17.3,0.0,3.0,3.0,5.0,5.0,310.0,3.0,330.0,3.0,320.0,5.0,340.0,5.0,350.0,6.0,-3.2139,94.8,113.2
266,113.2,10.5,16.6,19.4,20.9,18.5,0.0,2.0,4.0,4.0,1.0,360.0,1.0,10.0,4.0,30.0,5.0,30.0,5.0,20.0,7.0,2.5,98.2,96.4
267,96.4,10.7,18.1,20.0,20.9,19.1,1.0,3.0,6.0,5.0,4.0,300.0,2.0,350.0,5.0,360.0,6.0,360.0,6.0,360.0,6.0,0.0,113.2,95.6
268,95.6,11.4,18.0,21.6,22.6,21.0,7.0,6.0,5.0,5.0,5.0,320.0,2.0,340.0,3.0,10.0,3.0,360.0,5.0,350.0,5.0,0.5209,96.4,62.6
269,62.6,12.5,15.1,17.1,20.0,18.9,8.0,8.0,8.0,7.0,8.0,310.0,1.0,320.0,2.0,300.0,3.0,10.0,5.0,360.0,2.0,-2.5981,95.6,41.8
270,41.8,16.1,17.6,20.6,19.7,20.0,8.0,8.0,8.0,8.0,7.0,0.0,0.0,340.0,1.0,290.0,1.0,0.0,0.0,150.0,1.0,-0.9397,62.6,72.6
271,72.6,14.7,19.6,21.7,22.1,21.1,7.0,6.0,7.0,7.0,7.0,300.0,2.0,270.0,4.0,250.0,5.0,250.0,5.0,250.0,6.0,-4.6985,41.8,72.0
272,72.0,14.7,16.3,18.1,19.1,17.4,7.0,7.0,7.0,5.0,1.0,300.0,4.0,300.0,7.0,320.0,9.0,330.0,8.0,340.0,7.0,-5.7851,72.6,57.4
273,57.4,13.0,15.7,18.2,16.7,18.6,7.0,7.0,8.0,8.0,7.0,230.0,3.0,250.0,4.0,260.0,6.0,250.0,4.0,260.0,5.0,-5.9088,72.0,69.6
274,69.6,13.7,16.6,17.7,19.1,18.3,6.0,7.0,7.0,6.0,6.0,270.0,3.0,280.0,5.0,290.0,5.0,280.0,7.0,290.0,6.0,-4.6985,57.4,53.2
275,53.2,13.5,16.8,18.0,19.5,18.9,7.0,6.0,7.0,7.0,7.0,260.0,3.0,280.0,4.0,280.0,5.0,270.0,3.0,250.0,4.0,-4.924,69.6,38.0
276,38.0,14.0,17.9,18.9,17.6,16.8,8.0,7.0,8.0,8.0,7.0,180.0,6.0,250.0,7.0,220.0,6.0,230.0,6.0,250.0,6.0,-3.8567,53.2,65.0
277,65.0,14.2,17.2,21.0,21.1,18.6,5.0,6.0,6.0,5.0,7.0,260.0,5.0,270.0,6.0,250.0,7.0,250.0,6.0,240.0,5.0,-6.5778,38.0,49.4
278,49.4,12.8,14.3,18.1,15.2,14.1,8.0,7.0,7.0,7.0,7.0,340.0,4.0,310.0,3.0,300.0,3.0,320.0,1.0,350.0,1.0,-2.5981,65.0,58.2
279,58.2,10.0,15.1,18.5,13.4,16.3,2.0,6.0,7.0,8.0,7.0,250.0,2.0,300.0,5.0,250.0,5.0,300.0,6.0,170.0,2.0,-4.6985,49.4,73.6
